symbol,timestamp,open,high,low,close,volume,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
SPY,2026-02-11 20:20:00+00:00,692.71,692.76,692.25,692.26,29019.0,-1.0,-1,-1,hold_aligned,0.2849730849266052,0.710358738899231,,0.13094870746135712,0.14071521162986755,0.12052533775568008,0.04001794755458832,0.9858154058456421,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 20:30:00+00:00,692.21,692.58,691.875,692.56,50903.0,-1.0,-1,-1,hold_aligned,0.1481274962425232,0.8149747252464294,,0.23763546347618103,0.7583457231521606,0.010383025743067265,0.06494266539812088,0.9801017045974731,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 20:40:00+00:00,692.61,692.95,692.435,692.95,34737.0,-1.0,-1,-1,hold_aligned,0.12118201702833176,0.8437697887420654,,0.20903094112873077,0.28684014081954956,0.3929153084754944,0.08722910284996033,0.9761980175971985,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-11 20:50:00+00:00,692.92,692.97,691.77,691.81,149752.0,-1.0,-1,-1,hold_aligned,0.34512582421302795,0.7417965531349182,,0.08488991111516953,0.13721944391727448,0.11741441488265991,0.04945222660899162,0.9848011136054993,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 14:30:00+00:00,694.23,695.05,694.1,694.8,43518.0,-1.0,-1,-1,hold_aligned,0.03660154342651367,0.9695554375648499,,0.5776938199996948,0.03369975462555885,0.8443638682365417,0.13029463589191437,0.9506333470344543,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 14:40:00+00:00,694.82,695.34,693.15,693.26,32208.0,-1.0,-1,-1,hold_aligned,0.08141937851905823,0.8741806745529175,,0.3972291052341461,0.0032313631381839514,0.7448920607566833,0.09189211577177048,0.9621245265007019,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 14:50:00+00:00,693.17,693.89,692.34,692.66,34799.0,-1.0,-1,-1,hold_aligned,0.10645192116498947,0.74592125415802,,0.29471519589424133,0.05859063193202019,0.020747924223542213,0.056894443929195404,0.979022204875946,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 15:00:00+00:00,692.77,693.5,692.2,692.39,11664.0,-1.0,-1,-1,hold_aligned,0.07674103230237961,0.7836287021636963,,0.2587508261203766,0.12177097797393799,0.1693493127822876,0.038191068917512894,0.9850643277168274,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 15:10:00+00:00,692.435,693.535,692.235,693.13,18610.0,-1.0,-1,-1,hold_aligned,0.02769193984568119,0.9279907941818237,,0.3278273046016693,0.22625567018985748,0.18453919887542725,0.041550666093826294,0.9818300604820251,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 15:20:00+00:00,692.97,693.7,692.54,692.89,18038.0,-1.0,-1,-1,hold_aligned,0.018920179456472397,0.9089983701705933,,0.2195063680410385,0.10561275482177734,0.3785904347896576,0.03928057849407196,0.9815142750740051,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 15:30:00+00:00,692.99,693.405,691.0,691.135,23421.0,-1.0,-1,-1,hold_aligned,0.03593244403600693,0.9093982577323914,,0.18391072750091553,0.06699749827384949,0.11022646725177765,0.02733347937464714,0.992900013923645,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 15:40:00+00:00,691.21,691.29,690.25,690.56,42488.0,-1.0,-1,-1,hold_aligned,0.04494966194033623,0.9068904519081116,,0.1723976880311966,0.11760234087705612,0.009560509584844112,0.026088105514645576,0.9919079542160034,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 15:50:00+00:00,690.47,690.77,688.595,688.675,42880.0,-1.0,-1,-1,hold_aligned,0.029164733365178108,0.934382438659668,,0.1553662121295929,0.019787965342402458,0.008273690938949585,0.01389279868453741,0.9957211017608643,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 16:00:00+00:00,688.71,688.77,686.91,687.035,71389.0,-1.0,-1,-1,hold_aligned,0.021418718621134758,0.9487916827201843,,0.15720351040363312,0.014157417230308056,0.005881127435714006,0.008711449801921844,0.9963494539260864,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
SPY,2026-02-12 16:10:00+00:00,687.08,687.14,685.155,685.515,57825.0,-1.0,-1,-1,hold_aligned,0.03182152658700943,0.9577977061271667,,0.39023712277412415,0.015132732689380646,0.005959732457995415,0.0071214186027646065,0.9969788789749146,xgb,xgb,xgb,xgb,0.5,0.5,0.65,0.65
