trace_kind,symbol,timestamp,open,high,low,close,volume,policy_event,policy_mode,policy_reason,policy_position,policy_signed_contracts,policy_long_contracts,policy_short_contracts,policy_open_long_symbol,policy_open_short_symbol,target_long_contracts,target_short_contracts,raw_action,raw_pos,exec_pos,gate_status,p_enter_long,p_enter_short,p_exit_long,p_exit_short,p_pivot_long,p_pivot_short,p_tb_long,p_tb_short,p_pivot_long_source,p_pivot_short_source,p_tb_long_source,p_tb_short_source,thr_enter_long,thr_enter_short,thr_exit_long,thr_exit_short
policy_1m,SPY,2026-03-04 15:03:00+00:00,682.08,682.13,680.99,681.14,4962.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:04:00+00:00,680.99,681.61,680.945,681.59,2365.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:05:00+00:00,681.675,682.05,681.61,682.05,1359.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:06:00+00:00,681.78,682.18,681.38,682.18,7954.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:07:00+00:00,682.22,682.565,682.2,682.545,3703.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:08:00+00:00,682.57,683.12,682.51,683.11,4366.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:09:00+00:00,683.06,683.27,682.91,683.14,5513.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:10:00+00:00,683.12,683.32,683.05,683.22,7117.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-04 15:00:00+00:00,681.64,683.27,680.945,683.14,43509.0,,,,,,,,,,,,,,,policy_only,0.9512864947319031,0.012001803144812584,0.08806595206260681,,0.024333443492650986,0.29445478320121765,0.9666758179664612,0.007328076753765345,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 15:11:00+00:00,683.24,683.24,682.51,682.97,7160.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:12:00+00:00,683.08,683.38,683.08,683.35,2463.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:13:00+00:00,683.37,683.7,683.36,683.67,3492.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:14:00+00:00,683.73,683.73,682.85,683.24,6202.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:15:00+00:00,683.25,683.6,683.17,683.6,3579.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:16:00+00:00,683.59,683.74,683.43,683.665,7083.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:17:00+00:00,683.68,683.96,683.53,683.85,8588.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:18:00+00:00,683.85,684.09,683.85,683.98,4413.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:19:00+00:00,683.96,684.5,683.94,684.45,6325.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:20:00+00:00,684.43,684.81,684.31,684.81,8488.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-04 15:10:00+00:00,683.12,684.5,682.51,684.45,56422.0,,,,,,,,,,,,,,,policy_only,0.7693129181861877,0.036345772445201874,0.19747602939605713,,0.0023218432907015085,0.32734745740890503,0.4135546088218689,0.08944042026996613,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 15:21:00+00:00,684.84,685.18,684.84,685.16,5576.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:22:00+00:00,685.26,685.36,685.16,685.31,4848.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:23:00+00:00,685.28,685.4,685.19,685.32,2826.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:24:00+00:00,685.29,685.57,685.05,685.54,16470.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:25:00+00:00,685.525,685.55,685.13,685.21,9353.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:26:00+00:00,685.19,685.9,685.14,685.9,6726.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:27:00+00:00,685.92,686.26,685.85,686.0,8039.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:28:00+00:00,686.06,686.11,685.89,686.04,5599.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:29:00+00:00,686.09,686.18,685.91,686.04,8303.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:30:00+00:00,686.24,686.24,685.78,685.78,5153.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
meta_10m,SPY,2026-03-04 15:20:00+00:00,684.43,686.26,684.31,686.04,76228.0,,,,,,,,,,,,,,,policy_only,0.20841294527053833,0.2588718831539154,0.47488123178482056,,0.0005565570900216699,0.45184630155563354,0.14186224341392517,0.4306091070175171,,,,,0.5,0.5,0.65,0.65
policy_1m,SPY,2026-03-04 15:31:00+00:00,685.76,686.18,685.75,686.13,6065.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:32:00+00:00,686.07,686.16,685.845,685.87,5996.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:33:00+00:00,685.82,685.9,685.56,685.64,7361.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
policy_1m,SPY,2026-03-04 15:34:00+00:00,685.62,685.64,685.37,685.38,9841.0,hold,independent_meta,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
