date,theme,ticker,leader_score,leader_rank,stock_return_5d,stock_vs_theme_5d,rvol,breakout_quality,stock_above_20d
2026-05-19,insurance,PGR,0.6958333333333333,3.0,0.02948294606138746,-0.001613862104711039,0.5070403915755815,-0.0051624095316860075,1.0
2026-05-19,long_bonds,TLT,1.0,1.0,-0.02117890890229801,0.0,1.0502401304850923,-0.03738533181217829,0.0
2026-05-19,managed_care,HUM,0.92,1.0,0.0473336048073425,0.03992830182067186,0.5046119123841523,0.0,1.0
2026-05-19,managed_care,ELV,0.79,2.0,0.026875178368382713,0.019469875381712076,0.4818374262734467,0.0,1.0
2026-05-19,managed_care,CNC,0.5,3.0,-0.0040465633604735984,-0.011451866347144235,0.30449979461899346,-0.0040465633604735984,1.0
2026-05-19,market,SPY,1.0,1.0,-0.0015849561377506705,0.0,0.6291747228368975,-0.01491636045210254,1.0
2026-05-19,medtech,DXCM,0.971875,1.0,0.10206081004354761,0.06264150382552337,1.0990999676197761,0.0,1.0
2026-05-19,medtech,SYK,0.784375,2.0,0.07705892851331475,0.03763962229529051,0.7547323082863929,-0.03794927796047587,1.0
2026-05-19,medtech,EW,0.553125,3.0,0.033048970223162444,-0.006370335994861795,0.407934082790606,-0.021212164346312345,1.0
2026-05-19,mega_banks,BAC,0.8571428571428572,1.0,0.003347813858394444,0.016342282645785584,0.8085451085270736,-0.049440257213087424,0.0
2026-05-19,mega_banks,MS,0.825,2.0,0.002163331702590643,0.015157800489981785,0.5766091176854493,-0.011488684587736553,1.0
2026-05-19,mega_banks,GS,0.7535714285714286,3.0,-0.007759833667427496,0.005234635119963646,0.6178538461061421,-0.0313738686062327,1.0
2026-05-19,memory,LRCX,0.8166666666666667,1.0,-0.05258605991084864,0.006594679828804538,0.5496223773150931,-0.08397123727129285,0.0
2026-05-19,memory,MU,0.7749999999999999,2.0,-0.05970677360597798,-0.0005260338663248057,0.9534164825814352,-0.10305738563892441,1.0
2026-05-19,memory,WDC,0.4083333333333333,3.0,-0.0652493857021329,-0.006068645962479725,0.5313306817551617,-0.11434001324520704,1.0
2026-05-19,natural_gas,KMI,0.875,1.0,0.06625570602873809,0.016125146547300462,0.6383490965166966,0.0,1.0
2026-05-19,natural_gas,EQT,0.7625,2.0,0.06579422846822869,0.015663668986791057,0.7474483621128086,-0.007697755612941504,1.0
2026-05-19,natural_gas,WMB,0.6125,3.0,0.05981524676184646,0.009684687280408832,0.5654919163999578,0.0,1.0
2026-05-19,networking,CSCO,0.8800000000000001,1.0,0.17625138320714107,0.1487978397637102,0.776204239080325,-0.01758072330230087,1.0
2026-05-19,networking,MRVL,0.7900000000000001,2.0,0.09392095409265777,0.0664674106492269,0.6563006667522897,-0.014404671138332548,1.0
2026-05-19,networking,CIEN,0.495,3.0,-0.07072685713850613,-0.098180400581937,0.8855115426534506,-0.093378618845529,0.0
2026-05-19,nuclear,VST,0.8020833333333335,1.0,-0.07714306671021864,0.07544471394360902,0.778877281780809,-0.1863369444334778,0.0
2026-05-19,nuclear,CCJ,0.7437500000000001,2.0,-0.10740612396418714,0.045181656689640526,0.7487097435870229,-0.17473708239215147,0.0
2026-05-19,nuclear,CEG,0.7229166666666667,3.0,-0.11267332177013356,0.039914458883694104,0.8766746499843133,-0.1928894676522689,0.0
2026-05-19,oil_exploration,OXY,0.8142857142857144,1.0,0.08014924977508064,0.008003883796950814,0.7623684720797925,0.0,1.0
2026-05-19,oil_exploration,APA,0.7928571428571429,2.0,0.10595848716656242,0.03381312118843259,0.8090283630239662,-0.023798191078202136,1.0
