ticker,asset_type,date,px,avg_dollar_volume_20d,market_cap,min_price,min_avg_dollar_volume_20d,min_market_cap,market_cap_missing,is_exception,passes_price,passes_adv20,passes_market_cap,is_eligible
CCL,stock,2026-06-01,27.51,43943810.9505,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CDE,stock,2026-06-01,19.31,16869702.250749998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CDNS,stock,2026-06-01,414.36,38774509.2475,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CDW,stock,2026-06-01,141.08,15542085.660000002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CE,stock,2026-06-01,55.24,8212610.161499999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CECO,stock,2026-06-01,79.025,3494359.3230000003,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CEG,stock,2026-06-01,265.67,62483881.4345,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CELH,stock,2026-06-01,30.9,14481131.74425,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CENX,stock,2026-06-01,63.9,5721489.8,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CEVA,stock,2026-06-01,44.68,1489116.16475,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CF,stock,2026-06-01,113.26,20385108.2915,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CG,stock,2026-06-01,45.085,9868051.4905,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CGNX,stock,2026-06-01,64.665,9893018.462000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CGON,stock,2026-06-01,59.275,3366426.2767499997,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CHKP,stock,2026-06-01,139.055,12350677.50275,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CHRW,stock,2026-06-01,179.865,23168573.0645,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CHWY,stock,2026-06-01,22.28,12552563.294,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CHYM,stock,2026-06-01,19.19,7573539.199750001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CI,stock,2026-06-01,274.25,21911380.082,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CIEN,stock,2026-06-01,569.4,59315690.9115,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CIFR,stock,2026-06-01,24.02,26971627.6885,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CL,stock,2026-06-01,88.43,26615976.079000004,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CLBT,stock,2026-06-01,15.905,2700890.0747499997,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CLDX,stock,2026-06-01,30.155,1309842.5040000002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CLF,stock,2026-06-01,13.58,8061802.48475,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CLOV,stock,2026-06-01,3.91,1436976.16925,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
