date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short
2025-10-01 10:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,664.6,666.8086462632757,6.0,0.0033232715366773302,1,0,0.35,0.55,2,1,0,4.319387924914295,-0.0181106411945928,0.9870299451062341,-0.0181106411945928,7.0,0,7.0,,0,,0.65,
2025-10-01 10:15:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,665.455,666.91,10.0,0.002186473916342857,1,0,0.30000000000000004,0.5,2,1,0,3.5484454089691506,0.16767877411481705,0.5256956161435168,0.16767877411481705,6.0,0,6.0,,0,,0.7,
2025-10-01 10:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,665.465,667.36,10.0,0.0028476328582269783,1,0,0.25,0.44999999999999996,2,1,0,3.6186364491387693,0.13436678236237118,0.3336002872445622,0.13436678236237118,5.0,0,5.0,,0,,0.75,
2025-10-01 10:45:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,665.775,667.8512521284317,10.0,0.0031185492522725067,1,0,0.19999999999999996,0.4,2,1,0,3.4629705619764857,0.00481637073987943,0.43828973732946613,0.00481637073987943,4.0,0,4.0,,0,,0.8,
2025-10-01 11:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,666.08,667.795,10.0,0.0025747657938985924,1,0,0.15000000000000002,0.35,2,1,0,3.3004580116478164,0.29092183081402206,0.3410807671610942,0.29092183081402206,3.0,0,3.0,,0,,0.85,
2025-10-01 11:15:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,666.285,667.955,10.0,0.0025064349339998238,1,0,0.09999999999999998,0.30000000000000004,2,1,0,4.394057392181064,-0.06696687702040091,0.7469382436884834,-0.06696687702040091,2.0,0,2.0,,0,,0.9,
2025-10-01 11:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,666.97,668.61,10.0,0.0024588812090498013,1,0,0.050000000000000044,0.25,2,1,0,3.75622648225866,0.5455971426744343,0.19935280213098824,0.5455971426744343,1.0,0,1.0,,0,,0.95,
2025-10-01 11:45:00-04:00,1,0,0,0,0.0,0,0,667.16,667.6121462218875,6.0,0.0006777178216432755,1.0,666.97,668.7785848875504,10.0,0.002711643533517938,1,0,,,2,1,0,3.958896289185152,0.5750352151888963,0.2101090209343464,0.5750352151888963,,,,,,,,
2025-10-01 12:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,667.01,668.7365431098683,9.0,0.0025884815967800456,1,0,0.6,0.15000000000000002,2,1,0,4.100679536776872,0.6486950679646465,0.13900608599244305,0.6486950679646465,12.0,0,12.0,,0,,0.4,
2025-10-01 12:15:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,666.89,668.566790030592,7.0,0.002514342741069653,1,0,0.55,0.09999999999999998,2,1,0,4.365483970235511,0.524812280574695,0.17294950155302602,0.524812280574695,11.0,0,11.0,,0,,0.44999999999999996,
2025-10-01 12:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,666.65,668.2620193141211,6.0,0.002418089423417147,1,0,0.5,0.050000000000000044,2,1,0,4.83865170328471,0.24813598478374807,0.36600057755624354,0.24813598478374807,10.0,0,10.0,,0,,0.5,
2025-10-01 12:45:00-04:00,0,1,0,0,1.0,1,0,666.45,667.2337946815562,1.0,0.0011760742464643759,1.0,666.91,668.4775893631124,5.0,0.002350526102641304,1,0,,,2,1,0,4.644073359585373,0.1148259896599739,0.7782650410294372,0.1148259896599739,,,,,,,,
2025-10-01 13:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,667.36,668.9156186943187,5.0,0.002331003797528597,1,0,0.4,0.6,2,1,0,4.1012621044606705,0.4114118725478508,4.1012621044606705,-0.01928493152565995,8.0,0,8.0,,0,,0.6,
2025-10-01 13:15:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,667.945,668.535,10.0,0.0008833062602457975,1,0,0.35,0.55,2,1,0,3.373253242469637,1.4632538057546312,3.373253242469637,0.4208473335135607,7.0,0,7.0,,0,,0.65,
2025-10-01 13:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,667.795,669.2863242823462,5.0,0.00223320672114391,1,0,0.30000000000000004,0.5,2,1,0,3.6947027988650603,1.314268146238625,3.6947027988650603,0.23469074039971635,6.0,0,6.0,,0,,0.7,
2025-10-01 13:45:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,667.955,670.455,10.0,0.0037427671025742626,1,0,0.25,0.44999999999999996,2,1,0,3.617226060190247,1.5890704079448823,3.617226060190247,-0.013939214104767159,5.0,0,5.0,,0,,0.75,
2025-10-01 14:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,668.61,670.455,9.0,0.0027594561852202215,1,0,0.19999999999999996,0.4,2,1,0,2.696796844389136,2.4952321317930597,2.696796844389136,0.8340608797080372,4.0,0,4.0,,0,,0.8,
