date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short,trend_phase_ret,trend_phase_m,trend_phase_dm,trend_phase_a,trend_phase_label,trend_phase_dead,trend_phase_ignition,trend_phase_expansion,trend_phase_saturation
2025-08-07 12:30:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,631.93,630.0740057470562,5.0,-0.002937025070725907,0,1,0.4,0.050000000000000044,1,0,1,0.46336350375873053,2.947207401813707,0.10775895436250402,2.947207401813707,1.0,0,,1.0,,0,,0.95,-0.0004745108583902313,-0.00011069126325807439,-3.829679948759546e-05,-6.171713203906017e-06,0,1,0,0,0
2025-08-07 12:40:00-04:00,0,1,0,0,1.0,1,0,630.135,631.1249259031525,1.0,0.001570974320030727,-1.0,630.84,629.98,10.0,-0.0013632616828356259,0,1,,,1,0,1,3.7123990677450003,1.6617405350858594,1.2021101743173839,1.6617405350858594,,,,,,,,,-0.0017248745905399376,-0.0002644230087134899,-0.00015373174545541552,-2.0225049608811684e-05,0,1,0,0,0
2025-08-07 12:50:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,631.285,629.2765661798596,8.0,-0.0031815009387841098,0,1,0.30000000000000004,0.19999999999999996,1,0,1,4.177384345884914,2.0812236669604345,0.5028794027823211,2.0812236669604345,4.0,0,,4.0,,0,,0.8,0.0007054086614670663,-0.00017205808774391315,9.236492096957675e-05,-9.502195268012786e-06,0,1,0,0,0
2025-08-07 13:00:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,630.89,630.005,10.0,-0.001402780199400877,0,1,0.25,0.15000000000000002,1,0,1,4.849385085506557,1.6439415439866611,0.1745778630782978,1.6439415439866611,3.0,0,,3.0,,0,,0.85,-0.0006257078815431472,-0.00021526283001050689,-4.320474226659373e-05,-1.2711961648830019e-05,0,1,0,0,0
2025-08-07 13:10:00-04:00,0,0,0,0,0.0,0,0,,,,,0.0,630.365,630.51,10.0,0.00023002546143890967,0,0,0.19999999999999996,0.09999999999999998,1,0,1,6.2624032142219015,1.1593373038986459,0.6985750420928388,1.1593373038986459,2.0,0,,2.0,,0,,0.9,-0.000832157745407236,-0.00027401472671495725,-5.8751896704450365e-05,-1.709671736841291e-05,0,1,0,0,0
2025-08-07 13:20:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.0,630.51,10.0,0.0008095238095238155,1,0,0.15000000000000002,0.050000000000000044,1,0,1,6.6926235103008676,0.798748988256762,1.0616912017823956,0.798748988256762,1.0,0,,1.0,,0,,0.95,-0.0005790296098292513,-0.00030306376320203283,-2.904903648707558e-05,-1.823503347495221e-05,0,1,0,0,0
2025-08-07 13:30:00-04:00,0,1,0,0,1.0,1,0,629.79,630.7622670025123,2.0,0.0015437955548871507,0.0,630.105,630.245,10.0,0.0002221851913570827,0,0,,,1,0,1,6.829399725427517,0.9359568900811499,0.9925257131081,0.9359568900811499,,,,,,,,,0.0001666666666666483,-0.00025832753178596794,4.4736231416064886e-05,-1.2237770151998202e-05,0,1,0,0,0
2025-08-07 13:40:00-04:00,0,0,0,0,0.0,0,0,,,,,0.0,630.57,630.28,10.0,-0.00045990135908791085,0,0,0.050000000000000044,0.15000000000000002,1,0,1,6.841062827809223,1.4594975001144723,0.53072636367799,1.4594975001144723,3.0,0,,3.0,,0,,0.85,0.0007379722427214297,-0.00016344183897573958,9.488569281022836e-05,-2.0355355841671007e-06,0,1,0,0,0
2025-08-07 13:50:00-04:00,1,0,0,0,-1.0,0,1,631.07,630.1434024315073,1.0,-0.0014682960186552796,0.0,630.755,630.615,10.0,-0.0002219562270612263,0,0,,,1,0,1,6.755899446382778,1.6835787757758436,0.26980429098972797,1.6835787757758436,,,,,,,,,0.0002933853497628647,-0.0001199344876673011,4.350735130843849e-05,2.3018822151286697e-06,0,1,0,0,0
2025-08-07 14:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.18,631.27,10.0,0.001729664540290221,1,0,0.25,0.050000000000000044,1,0,1,7.405906298192907,1.0672739873766253,0.03250580672222764,1.0672739873766253,1.0,0,,1.0,,0,,0.95,-0.0009116059325728898,-0.0001953317681345,-7.53972804671989e-05,-5.098038040331099e-06,0,1,0,0,0
