theme,start,end,days,avg_rank,max_rank,total_return
medtech,2019-01-22,2019-01-24,2,7.0,15.0,-0.009421093353547905
mega_banks,2019-01-22,2019-01-31,7,4.75,23.0,-0.00798169321496256
aerospace,2019-01-24,2019-02-21,19,5.1,15.0,0.11371480957122748
payments,2019-01-24,2019-01-28,2,11.0,17.0,0.016848436273982248
semis,2019-01-25,2019-01-29,2,13.0,23.0,-0.012588879874668724
workflow_software,2019-01-25,2019-01-29,2,14.333333333333334,27.0,-0.00543488969056416
asset_managers,2019-01-28,2019-01-30,2,11.333333333333334,22.0,-0.011314895988752238
china_internet,2019-01-28,2019-02-04,5,5.0,13.0,0.025794944578020784
cybersecurity,2019-01-28,2019-03-05,25,5.461538461538462,15.0,0.1264749183646996
defense,2019-01-29,2019-02-26,19,6.5,18.0,0.1184688788685262
workflow_software,2019-01-31,2019-02-20,13,3.2142857142857144,14.0,0.10254512994891352
dev_tools,2019-02-01,2019-04-04,43,2.6818181818181817,14.0,0.26606372540868906
ai_apps,2019-02-05,2019-02-15,8,8.88888888888889,14.0,0.03425720638804597
data_centers,2019-02-06,2019-02-11,3,8.75,13.0,0.0009106015525626177
semis,2019-02-06,2019-02-08,2,10.0,16.0,-0.001078446371280406
vertical_software,2019-02-07,2019-03-14,24,4.04,15.0,0.06524217575071578
business_apps,2019-02-12,2019-02-19,4,8.4,15.0,0.019839608411468257
consumer,2019-02-14,2019-02-20,3,11.75,20.0,-0.010648003388461391
semis,2019-02-15,2019-02-27,7,8.0,20.0,0.01347903461072475
data_centers,2019-02-19,2019-03-05,10,6.545454545454546,14.0,0.013369506579213208
ai_infrastructure,2019-02-21,2019-02-27,4,7.2,15.0,0.0009801711014960635
insurance,2019-02-21,2019-02-22,1,11.0,17.0,-0.0028396459895119186
business_apps,2019-02-22,2019-03-04,6,7.714285714285714,14.0,0.004170979161423949
insurance,2019-02-25,2019-02-27,2,8.333333333333334,14.0,0.004402586250566998
fintech,2019-02-27,2019-03-14,11,7.333333333333333,13.0,0.029780239311470558
payments,2019-02-28,2019-03-26,18,6.947368421052632,17.0,0.018710880552348153
workflow_software,2019-02-28,2019-03-04,2,9.0,18.0,-0.03034660087901353
china_internet,2019-03-04,2019-03-14,8,3.7777777777777777,14.0,0.021669904703284226
cloud,2019-03-04,2019-04-04,23,3.625,23.0,0.05370112278193839
travel,2019-03-05,2019-03-12,5,8.333333333333334,16.0,0.023998301277187384
cybersecurity,2019-03-07,2019-03-15,6,5.714285714285714,16.0,0.03523127941619264
data_centers,2019-03-13,2019-04-22,27,4.75,14.0,0.09932633720724815
medtech,2019-03-14,2019-03-18,2,11.0,19.0,-0.0020520879619940757
ai_infrastructure,2019-03-15,2019-04-29,30,4.129032258064516,15.0,0.13146940795347195
mega_banks,2019-03-15,2019-03-20,3,10.0,21.0,-0.007667460751334398
asset_managers,2019-03-18,2019-03-20,2,12.0,19.0,-0.010696782621904433
cybersecurity,2019-03-18,2019-04-04,13,8.285714285714286,28.0,0.010607226187181684
business_apps,2019-03-19,2019-03-22,3,8.25,15.0,-0.010021900749357271
gold,2019-03-25,2019-03-29,4,9.4,13.0,-0.011107846974445224
restaurants,2019-03-25,2019-04-08,10,7.2727272727272725,15.0,0.030133443612407218
oil_exploration,2019-03-26,2019-03-29,3,10.75,19.0,0.011397479373467911
consumer,2019-03-28,2019-04-08,7,7.5,14.0,0.013985220582279467
fintech,2019-04-02,2019-04-04,2,8.0,15.0,-0.015546283167067965
semis,2019-04-03,2019-05-03,21,5.136363636363637,15.0,0.09940393279528381
asset_managers,2019-04-04,2019-04-10,4,7.4,14.0,-0.0005518278126435128
robotics,2019-04-04,2019-04-23,12,7.0,14.0,0.011737531520829902
travel,2019-04-09,2019-04-29,13,5.5,18.0,0.04316450140652761
uranium,2019-04-09,2019-04-11,2,9.333333333333334,13.0,-0.01929379421698163
autos,2019-04-10,2019-04-22,7,7.5,18.0,0.011623385491460914
dev_tools,2019-04-10,2019-04-16,4,8.6,18.0,0.015675850526450708
vertical_software,2019-04-11,2019-04-17,4,6.6,13.0,0.0012389546426376796
cybersecurity,2019-04-12,2019-04-17,3,7.5,16.0,-0.010887808693090362
asset_managers,2019-04-16,2019-05-06,13,3.857142857142857,16.0,0.044751096861445294
mega_banks,2019-04-17,2019-04-24,4,8.2,13.0,0.005341002517812887
consumer_staples,2019-04-18,2019-04-23,2,10.333333333333334,16.0,0.0011223330359801942
regional_banks,2019-04-22,2019-05-10,14,5.6,15.0,0.0155823404823352
vertical_software,2019-04-22,2019-04-29,5,6.333333333333333,14.0,0.017454453963101635
business_apps,2019-04-25,2019-05-02,5,7.833333333333333,14.0,0.003169323250268974
consumer_internet,2019-04-26,2019-04-30,2,9.333333333333334,16.0,0.009483183570744957
mega_banks,2019-04-26,2019-05-01,3,8.0,15.0,0.01309756792934369
workflow_software,2019-04-29,2019-06-03,24,4.36,20.0,-0.034178424748451675
payments,2019-04-30,2019-06-20,36,5.243243243243243,14.0,0.06548954879474156
vertical_software,2019-05-01,2019-05-24,17,7.166666666666667,16.0,-0.04792825958092228
defense,2019-05-02,2019-06-11,27,3.142857142857143,19.0,0.05479516750321145
cloud,2019-05-03,2019-06-03,20,6.714285714285714,19.0,-0.0335181044581343
ai_apps,2019-05-06,2019-05-09,3,9.75,16.0,-0.02468172986834516
medtech,2019-05-06,2019-05-08,2,9.333333333333334,14.0,-0.021366567239927803
insurance,2019-05-07,2019-06-12,25,3.769230769230769,14.0,0.05826043977450457
restaurants,2019-05-07,2019-05-22,11,8.333333333333334,15.0,0.00444756879014907
aerospace,2019-05-09,2019-05-22,9,7.4,13.0,0.005943139839904132
consumer_staples,2019-05-13,2019-05-16,3,9.75,13.0,-0.0031272396105388456
dev_tools,2019-05-15,2019-05-23,6,7.0,14.0,-0.000989332634335649
consumer,2019-05-20,2019-05-22,2,8.0,14.0,0.002095813832333482
business_apps,2019-05-22,2019-05-23,1,9.0,13.0,-0.018080486578283206
pharma,2019-05-23,2019-05-30,4,8.2,14.0,-0.025844388532853535
dev_tools,2019-05-28,2019-06-03,4,11.0,18.0,-0.06215995376816563
fintech,2019-05-29,2019-06-03,3,8.75,13.0,-0.04482720681576435
medtech,2019-05-30,2019-07-03,24,4.08,17.0,0.1412050752712899
gold,2019-05-31,2019-07-01,21,3.6818181818181817,22.0,0.1288555833083911
consumer_staples,2019-06-03,2019-06-20,13,5.428571428571429,13.0,0.07127218480199748
aerospace,2019-06-04,2019-06-11,5,8.666666666666666,18.0,0.02151773056098616
restaurants,2019-06-06,2019-06-11,3,9.5,14.0,0.01593934624810589
dev_tools,2019-06-07,2019-06-14,5,4.0,14.0,0.03750116888135824
pharma,2019-06-12,2019-06-26,10,8.636363636363637,17.0,-0.004045504783503739
retail,2019-06-13,2019-06-27,10,7.909090909090909,15.0,0.003803339601160971
consumer,2019-06-14,2019-06-17,1,10.5,17.0,-0.00291615039800297
restaurants,2019-06-14,2019-06-17,1,9.0,15.0,-0.002974272681676271
dev_tools,2019-06-17,2019-06-24,5,6.666666666666667,17.0,0.028025535555293857
cloud,2019-06-18,2019-06-24,4,8.8,19.0,0.004878542050940293
robotics,2019-06-18,2019-07-02,10,6.636363636363637,14.0,0.05366936679919476
workflow_software,2019-06-18,2019-06-24,4,9.8,31.0,-0.013102149427409393
aerospace,2019-06-20,2019-07-01,7,5.375,20.0,0.010819149747543833
defense,2019-06-24,2019-06-28,4,7.2,14.0,-0.0020384581466428298
consumer_staples,2019-06-25,2019-06-26,1,10.0,15.0,-0.015371274813320568
semis,2019-06-27,2019-07-02,3,6.5,13.0,0.028157861260504014
travel,2019-06-27,2019-07-17,13,6.142857142857143,17.0,0.03312423820659971
asset_managers,2019-06-28,2019-07-15,10,5.454545454545454,14.0,0.03388405103002645
mega_banks,2019-07-01,2019-07-10,6,7.714285714285714,18.0,0.008170752970206419
vertical_software,2019-07-01,2019-07-16,10,4.090909090909091,13.0,0.03246589596140992
business_apps,2019-07-02,2019-07-05,2,7.0,13.0,0.01532420824528602
gold,2019-07-02,2019-07-05,2,10.666666666666666,23.0,0.010836322714678603
cybersecurity,2019-07-05,2019-07-29,16,4.235294117647059,13.0,0.046560980134245256
regional_banks,2019-07-08,2019-07-10,2,12.333333333333334,25.0,-0.015799856594836736
fintech,2019-07-09,2019-08-06,20,4.9523809523809526,14.0,-0.037737779080292744
business_apps,2019-07-10,2019-07-19,7,7.625,15.0,0.002700678517304045
cloud,2019-07-10,2019-07-18,6,8.142857142857142,15.0,0.001925659802521018
payments,2019-07-11,2019-08-09,21,6.181818181818182,13.0,-0.03467441412625549
ai_infrastructure,2019-07-15,2019-08-02,14,5.466666666666667,16.0,-0.019933081900185945
autos,2019-07-16,2019-08-06,15,5.6875,16.0,-0.054209455146477015
semis,2019-07-18,2019-08-05,12,5.0,21.0,-0.04869708374226822
mega_banks,2019-07-23,2019-07-30,5,7.5,13.0,0.022735157830529262
regional_banks,2019-07-24,2019-08-06,9,7.2,22.0,-0.06041787468585502
asset_managers,2019-07-26,2019-08-01,4,7.2,16.0,-0.046325565699553595
gold,2019-07-30,2019-07-31,1,8.0,15.0,-0.021203943166362094
mega_banks,2019-07-31,2019-08-01,1,11.0,18.0,-0.035367548713471475
consumer,2019-08-01,2019-08-16,11,5.666666666666667,15.0,-0.01071810739226664
gold,2019-08-01,2019-08-19,12,2.1538461538461537,16.0,0.06988068560007821
medtech,2019-08-01,2019-09-09,26,4.962962962962963,26.0,-0.0034394968577275975
restaurants,2019-08-01,2019-08-19,12,4.6923076923076925,14.0,-0.0006000505088055164
ai_apps,2019-08-02,2019-08-07,3,10.25,17.0,-0.017929032634382613
pharma,2019-08-05,2019-08-26,15,7.625,13.0,0.009081525107396127
defense,2019-08-06,2019-09-06,22,4.739130434782608,14.0,0.0767331039326451
aerospace,2019-08-07,2019-09-09,22,7.6521739130434785,19.0,0.027178193076063062
biotech,2019-08-09,2019-08-15,4,8.8,15.0,-0.027795735249332765
insurance,2019-08-09,2019-08-20,7,8.25,17.0,-0.031246538662654033
china_internet,2019-08-16,2019-08-30,10,7.636363636363637,13.0,0.06471030062401661
consumer_staples,2019-08-19,2019-09-12,17,3.611111111111111,13.0,0.07818305073220899
retail,2019-08-19,2019-09-18,21,4.045454545454546,13.0,0.13572460551429466
gold,2019-08-20,2019-08-21,1,7.5,14.0,0.019925757687365264
data_centers,2019-08-22,2019-08-27,3,7.0,13.0,-0.01834705777691914
semis,2019-08-22,2019-08-26,2,10.333333333333334,17.0,-0.03427314711363749
gold,2019-08-23,2019-09-05,8,4.555555555555555,15.0,0.040740014068747055
asset_managers,2019-09-05,2019-09-30,17,4.055555555555555,16.0,0.040980665148765194
regional_banks,2019-09-05,2019-10-01,18,3.473684210526316,13.0,0.058390774401370305
semis,2019-09-05,2019-09-20,11,7.666666666666667,16.0,0.03558661127668139
robotics,2019-09-06,2019-11-18,51,3.5,18.0,0.1826095063189337
autos,2019-09-09,2019-09-19,8,7.555555555555555,16.0,0.022092121315676394
nuclear,2019-09-12,2019-10-15,23,4.333333333333333,21.0,0.022466674670744924
