date,action,theme,theme_rank,theme_score,tickers
2018-04-05,enter,uranium,2.0,0.673076923076923,UUUU|UEC|CCJ
2018-04-05,enter,payments,3.0,0.6625874125874126,COF|V|FIS
2018-04-06,exit,regional_banks,17.0,0.48295454545454547,COF|TFC|PNC
2018-04-06,exit,payments,20.0,0.4632867132867133,COF|V|FIS
2018-04-06,enter,restaurants,1.0,0.7631118881118881,TXRH|MCD|SBUX
2018-04-06,enter,nuclear,2.0,0.7591783216783217,CCJ|UUUU|UEC
2018-04-09,exit,restaurants,18.0,0.5441433566433566,TXRH|MCD|SBUX
2018-04-09,enter,pharma,3.0,0.7325174825174825,MRK|TMO|JNJ
2018-04-10,exit,mega_banks,13.0,0.6184440559440558,JPM|GS|AXP
2018-04-10,exit,pharma,15.0,0.5817307692307692,MRK|TMO|JNJ
2018-04-10,enter,ai_apps,1.0,0.7381993006993007,META|TSLA|ADBE
2018-04-10,enter,autos,3.0,0.7071678321678321,GM|TSLA|F
2018-04-11,exit,autos,24.0,0.4178321678321678,GM|TSLA|F
2018-04-11,enter,oil_exploration,1.0,0.8435314685314684,DVN|OXY|COP
2018-04-11,enter,gold,2.0,0.7792832167832169,AEM|PAAS|NEM
2018-04-12,exit,uranium,34.0,0.24082167832167833,UUUU|UEC|CCJ
2018-04-12,exit,nuclear,21.0,0.5056818181818182,CCJ|UUUU|UEC
2018-04-12,exit,ai_apps,24.0,0.4755244755244755,META|TSLA|ADBE
2018-04-12,exit,gold,19.0,0.5227272727272727,AEM|PAAS|NEM
2018-04-12,enter,medtech,1.0,0.7858391608391608,BSX|EXAS|ISRG
2018-04-12,enter,semis,2.0,0.7482517482517482,MPWR|MRVL|LRCX
2018-04-12,enter,biotech,3.0,0.7176573426573427,CRSP|EXAS|VRTX
2018-04-13,enter,gold,3.0,0.736013986013986,GOLD|AEM|NEM
2018-04-16,exit,semis,12.0,0.5847902097902098,MPWR|MRVL|LRCX
2018-04-16,exit,biotech,21.0,0.48645104895104896,CRSP|EXAS|VRTX
2018-04-16,exit,gold,14.0,0.555944055944056,GOLD|AEM|NEM
2018-04-16,enter,nuclear,1.0,0.6826923076923076,DNN|UEC|CCJ
2018-04-16,enter,cybersecurity,2.0,0.6700174825174825,GEN|FTNT|OKTA
2018-04-16,enter,workflow_software,3.0,0.6638986013986015,TEAM|NOW|WDAY
2018-04-17,exit,nuclear,16.0,0.5817307692307692,DNN|UEC|CCJ
2018-04-17,exit,cybersecurity,17.0,0.5572552447552447,GEN|FTNT|OKTA
2018-04-17,enter,data_centers,3.0,0.7185314685314684,PSTG|SMCI|NTAP
2018-04-18,exit,data_centers,16.0,0.5118006993006994,PSTG|SMCI|NTAP
2018-04-18,enter,gold,2.0,0.7233391608391609,GOLD|PAAS|FNV
2018-04-18,enter,defense,3.0,0.6971153846153845,KTOS|GD|TDG
2018-04-19,exit,medtech,26.0,0.4191433566433566,BSX|EXAS|ISRG
2018-04-19,exit,workflow_software,18.0,0.5362762237762237,TEAM|NOW|WDAY
2018-04-19,enter,uranium,3.0,0.7189685314685313,UUUU|LEU|DNN
2018-04-20,exit,oil_exploration,10.0,0.6590909090909091,DVN|OXY|COP
2018-04-20,exit,gold,28.0,0.38592657342657344,GOLD|PAAS|FNV
2018-04-20,exit,defense,12.0,0.638548951048951,KTOS|GD|TDG
2018-04-20,enter,fintech,2.0,0.7740384615384616,SCHW|V|INTU
2018-04-20,enter,nuclear,3.0,0.7604895104895104,LEU|UEC|NXE
2018-04-23,exit,nuclear,13.0,0.6219405594405595,LEU|UEC|NXE
2018-04-23,enter,aerospace,1.0,0.847027972027972,LMT|GE|GD
2018-04-23,enter,regional_banks,2.0,0.8041958041958043,TFC|KEY|HBAN
2018-04-23,enter,defense,3.0,0.7583041958041958,LMT|GD|HEI
2018-04-24,exit,uranium,34.0,0.24825174825174828,UUUU|LEU|DNN
2018-04-24,exit,fintech,28.0,0.4366258741258741,SCHW|V|INTU
2018-04-24,exit,defense,10.0,0.6398601398601399,LMT|GD|HEI
2018-04-24,enter,oil_exploration,2.0,0.7041083916083917,EOG|OXY|FANG
2018-04-25,exit,aerospace,18.0,0.48295454545454547,LMT|GE|GD
2018-04-25,enter,pharma,1.0,0.7875874125874126,LLY|AMGN|PFE
2018-04-25,enter,consumer,3.0,0.7478146853146853,CMG|DRI|DPZ
2018-04-26,exit,regional_banks,17.0,0.5812937062937064,TFC|KEY|HBAN
2018-04-26,exit,oil_exploration,16.0,0.5834790209790209,EOG|OXY|FANG
2018-04-26,enter,cybersecurity,1.0,0.8020104895104896,GEN|OKTA|ZS
2018-04-26,enter,restaurants,3.0,0.7757867132867133,CMG|DPZ|DRI
2018-04-27,exit,cybersecurity,22.0,0.458479020979021,GEN|OKTA|ZS
2018-04-27,enter,regional_banks,1.0,0.8374125874125874,FITB|KEY|HBAN
2018-04-30,exit,pharma,12.0,0.6228146853146853,LLY|AMGN|PFE
2018-04-30,exit,regional_banks,26.0,0.39204545454545453,FITB|KEY|HBAN
2018-04-30,enter,cybersecurity,3.0,0.7172202797202798,ZS|AKAM|GEN
2018-05-01,exit,cybersecurity,24.0,0.4527972027972028,ZS|AKAM|GEN
2018-05-01,enter,fintech,1.0,0.7587412587412588,FIS|V|MA
2018-05-01,enter,ai_infrastructure,3.0,0.708916083916084,SMCI|AMD|ANET
2018-05-02,exit,consumer,16.0,0.5537587412587412,CMG|DRI|DPZ
2018-05-02,exit,restaurants,12.0,0.5812937062937064,CMG|DPZ|DRI
2018-05-02,exit,ai_infrastructure,15.0,0.5598776223776224,SMCI|AMD|ANET
2018-05-02,enter,nuclear,1.0,0.7613636363636364,CCJ|UEC|NXE
2018-05-02,enter,uranium,2.0,0.756555944055944,CCJ|UEC|NXE
2018-05-02,enter,cybersecurity,3.0,0.7395104895104895,PANW|ZS|OKTA
2018-05-03,exit,nuclear,17.0,0.5380244755244755,CCJ|UEC|NXE
2018-05-03,exit,uranium,19.0,0.5196678321678323,CCJ|UEC|NXE
2018-05-03,exit,cybersecurity,15.0,0.5926573426573425,PANW|ZS|OKTA
2018-05-03,enter,workflow_software,1.0,0.7805944055944057,CRM|WDAY|TEAM
2018-05-03,enter,payments,3.0,0.7390734265734266,XYZ|GPN|MA
2018-05-04,exit,payments,11.0,0.6245629370629371,XYZ|GPN|MA
2018-05-04,enter,semis,1.0,0.8308566433566436,SMCI|NVDA|MRVL
2018-05-04,enter,ai_infrastructure,2.0,0.7919580419580418,SMCI|NVDA|MRVL
2018-05-04,enter,asset_managers,3.0,0.7679195804195803,KKR|BX|SCHW
2018-05-07,exit,asset_managers,11.0,0.6695804195804197,KKR|BX|SCHW
2018-05-07,enter,business_apps,2.0,0.7888986013986014,CRM|WDAY|INTU
2018-05-08,exit,fintech,11.0,0.6939531057178117,FIS|V|MA
2018-05-08,exit,business_apps,12.0,0.6903794734677088,CRM|WDAY|INTU
2018-05-08,enter,payments,3.0,0.7730872069107363,XYZ|FIS|MA
2018-05-09,enter,business_apps,2.0,0.7753496503496504,ADBE|ADSK|WDAY
2018-05-09,enter,asset_managers,3.0,0.7622377622377622,TROW|KKR|SCHW
2018-05-10,exit,payments,12.0,0.6079545454545454,XYZ|FIS|MA
2018-05-10,exit,business_apps,15.0,0.5930944055944056,ADBE|ADSK|WDAY
2018-05-10,exit,asset_managers,20.0,0.5362762237762237,TROW|KKR|SCHW
2018-05-10,enter,robotics,3.0,0.7049825174825175,ZBRA|EMR|TSLA
