theme,start,end,days,peak_return,avg_return
renewables_storage,2020-08-13,2020-08-13,1,0.03399664249237661,0.03399664249237661
retail_consumer,2020-08-14,2020-08-14,1,0.011707514488923407,0.011707514488923407
consumer_staples,2020-08-17,2020-08-21,5,0.009383155317679609,0.003874778877187442
homebuilders_housing,2020-08-17,2020-08-21,5,0.025242388164145833,0.008272276494251267
retail,2020-08-17,2020-08-21,5,0.03026644652058717,0.010011470297409676
mega_cap_platforms,2020-08-18,2020-08-18,1,0.011667018017115071,0.011667018017115071
renewables_storage,2020-08-18,2020-08-19,2,0.01885612157080202,0.010527046404879026
rare_earth_critical_minerals,2020-08-19,2020-08-19,1,0.028050722945015205,0.028050722945015205
business_apps,2020-08-20,2020-08-20,1,0.019624698789492218,0.019624698789492218
consumer_internet_marketplaces,2020-08-20,2020-08-20,1,0.011006142836026448,0.011006142836026448
workflow_software,2020-08-20,2020-08-20,1,0.030411020436486542,0.030411020436486542
airlines_travel,2020-08-24,2020-08-28,5,0.05867244728930095,0.023485136460932955
china_internet,2020-08-24,2020-08-26,3,0.0470094906585475,0.03935329449852314
cybersecurity,2020-08-24,2020-08-24,1,0.004471719344642855,0.004471719344642855
consumer_internet_marketplaces,2020-08-25,2020-08-25,1,0.017138639555785165,0.017138639555785165
mega_cap_platforms,2020-08-25,2020-08-26,2,0.04724645233501568,0.02877677159660417
gaming_sports_betting,2020-08-26,2020-08-26,1,0.009439450784639227,0.009439450784639227
regional_banks,2020-08-27,2020-08-27,1,0.03060865403497459,0.03060865403497459
travel,2020-08-27,2020-08-28,2,0.03418634950109156,0.02850580639787311
restaurants_food,2020-08-28,2020-09-03,5,0.04015792206664475,0.009805239600257327
biotech,2020-08-31,2020-08-31,1,0.015159517121848841,0.015159517121848841
business_apps,2020-08-31,2020-09-01,2,0.042084444413961725,0.024827747685808338
robotics,2020-08-31,2020-08-31,1,0.026136036404357837,0.026136036404357837
workflow_software,2020-09-01,2020-09-01,1,0.12101241942469891,0.12101241942469891
ai_apps,2020-09-02,2020-09-02,1,0.03085435789185209,0.03085435789185209
medtech,2020-09-02,2020-09-02,1,0.023789806118251183,0.023789806118251183
renewables_storage,2020-09-03,2020-09-03,1,-0.002303958273943659,-0.002303958273943659
retail_consumer,2020-09-03,2020-09-03,1,-0.01789639319087825,-0.01789639319087825
banks_brokers_exchanges,2020-09-04,2020-09-04,1,0.016699800533019463,0.016699800533019463
industrial_automation,2020-09-04,2020-09-11,5,0.014918438090711443,0.0013048959994043392
lithium_battery_materials,2020-09-04,2020-09-04,1,0.044079296785707836,0.044079296785707836
airlines_travel,2020-09-08,2020-09-10,3,0.0035102931446664106,-0.0060267652850684245
transport_logistics,2020-09-08,2020-09-08,1,0.0009116898910956187,0.0009116898910956187
datacenter_reits_towers,2020-09-09,2020-09-09,1,0.018874839691698897,0.018874839691698897
real_estate_reits,2020-09-09,2020-09-09,1,0.012465270197543777,0.012465270197543777
apparel_beauty_lifestyle,2020-09-10,2020-09-10,1,0.0030979270582867924,0.0030979270582867924
restaurants,2020-09-10,2020-09-10,1,-0.00201702855667791,-0.00201702855667791
agriculture_food_inputs,2020-09-11,2020-09-11,1,0.014419125913233107,0.014419125913233107
datacenter_infra,2020-09-11,2020-09-11,1,0.011522782483370686,0.011522782483370686
biotech_innovation,2020-09-14,2020-09-18,5,0.04874679897960317,0.024422417311627108
gold,2020-09-14,2020-09-14,1,0.026214514155796818,0.026214514155796818
gold_silver_miners,2020-09-14,2020-09-14,1,0.05254731680959634,0.05254731680959634
copper_metals,2020-09-15,2020-09-17,3,0.007441279869235001,0.004151753140518751
gaming_sports_betting,2020-09-15,2020-09-15,1,0.020426753217453433,0.020426753217453433
solar,2020-09-15,2020-09-15,1,0.026359273524133697,0.026359273524133697
