theme,days,top5_days,top10_days,top5_pct,top10_pct,avg_rank,median_rank,best_rank,worst_rank,latest_rank,avg_fwd_5d,avg_fwd_5d_when_top5,avg_fwd_5d_when_top10
pharma_largecap,2108,137,269,0.06499051233396584,0.12760910815939278,47.242409867172675,46.5,1,95,45,0.0025462418300309974,0.005187201755591475,0.0037398110561335843
data_centers,2108,140,298,0.06641366223908918,0.1413662239089184,41.767552182163186,38.0,1,95,15,0.007246740683619913,0.010064996248737976,0.00703987806626284
homebuilders_housing,2108,148,260,0.07020872865275142,0.12333965844402277,47.631404174573056,47.0,1,95,87,0.0033591285612839584,0.005108392213100765,0.008012369915450906
datacenter_reits_towers,2108,155,302,0.07352941176470588,0.1432637571157495,47.09535104364326,48.0,1,95,55,0.0023161640107878163,-0.007120517275795942,-0.0007225831274973241
oil_gas,2108,160,343,0.07590132827324478,0.1627134724857685,49.34914611005693,53.0,1,95,31,0.004087139152585137,-0.003173873624972086,-0.0006889036593007672
advanced_packaging,2108,164,303,0.0777988614800759,0.1437381404174573,44.63662239089184,43.0,1,95,74,0.007338034279774842,0.011221599235214772,0.005594208156943909
uranium,2108,166,266,0.07874762808349146,0.12618595825426945,55.895161290322584,61.5,1,95,94,0.009626199157750833,0.012926664084024094,0.014203332399433128
memory,2108,169,276,0.0801707779886148,0.13092979127134724,48.530834914611006,48.0,1,95,2,0.009328619171520473,0.017900058374685467,0.01654699789037927
obesity_glp1_health,2108,173,284,0.08206831119544591,0.1347248576850095,49.24193548387097,50.0,1,95,10,0.00468196604816094,0.014606692252448754,0.010412841192987026
ai_apps,2108,185,266,0.08776091081593927,0.12618595825426945,53.48339658444023,57.0,1,95,71,0.0054621277504488495,0.029763455579899435,0.024676876124829706
oil_services,2108,185,334,0.08776091081593927,0.15844402277039848,51.782732447817835,56.0,1,95,22,0.004600005756207645,-0.004590724879863165,0.000957632446934498
natural_gas,2108,186,315,0.08823529411764706,0.14943074003795068,50.28700189753321,54.0,1,95,52,0.004367593902366538,0.003504755678206171,0.003798456270136781
copper,2108,190,312,0.09013282732447818,0.14800759013282733,48.00332068311195,47.0,1,95,29,0.004789697041741115,-0.002542239564826066,0.00030646889256116057
oil_integrated,2108,203,352,0.09629981024667932,0.16698292220113853,48.33017077798861,51.0,1,95,39,0.0028445532733129045,0.002031323017549666,0.002447918850703046
workflow_software,2108,216,403,0.10246679316888045,0.19117647058823528,46.219165085388994,47.0,1,95,60,0.004040553454126109,-0.0014275559366985723,0.0030384648143159873
cloud,2108,217,362,0.10294117647058823,0.17172675521821631,45.2865275142315,44.0,1,95,18,0.0075437160733024195,0.004757421432726154,0.0034592012434098455
ai_infrastructure,2108,224,423,0.1062618595825427,0.20066413662239088,40.99952561669829,37.0,1,95,17,0.010136738118862116,0.019505447586289897,0.01954198990240503
dev_tools,2108,228,411,0.10815939278937381,0.19497153700189754,43.94259962049336,42.0,1,95,24,0.006185414109810868,0.00821133673816629,0.007577811040472398
gold_silver_miners,2108,237,378,0.11242884250474383,0.1793168880455408,52.42457305502846,58.0,1,95,88,0.006258104173679179,0.007690791210944776,0.006274076163304362
silver,2108,258,405,0.12239089184060721,0.19212523719165087,50.670303605313094,55.0,1,95,73,0.005722536043192287,0.007817197851716657,0.007231939715529813
oil_exploration,2108,263,394,0.1247628083491461,0.1869070208728653,50.895161290322584,56.0,1,95,33,0.00368711879029762,0.00312760938968732,0.0015622212071823808
solar,2108,276,417,0.13092979127134724,0.1978178368121442,49.470588235294116,52.0,1,95,11,0.009074829798087904,0.009916949253395762,0.010631926983760876
gold,2108,308,448,0.1461100569259962,0.2125237191650854,46.88946869070209,47.0,1,95,84,0.00494191872363834,0.00875241977536957,0.010053576296956341
